Estado,ID,Ano,PIB,Investimento (% PIB),Série de investimento,I0,K,,,k0,taxa de crescimento tecnológico,,taxa de depreciação implícita média
Acre,1,2003,"7.726.410,43","0,1660475915","1282951,843","1510219,751","11185061,03",,,"10287986,76","0,08719628849",,"0,05959819963"
Acre,1,2004,"8.045.587,75","0,1732023332","1393514,571",,"11801403,37",,,,,,
Acre,1,2005,"8.651.726,68","0,1705618345","1475654,375",,"12491575,55",,,,,,
Acre,1,2006,"9.092.774,20","0,1721029957","1564893,678",,"13222754,51",,,,,,
Acre,1,2007,"10.191.757,11","0,1799576134","1834084,286",,"13999595,82",,,,,,
Acre,1,2008,"11.302.382,11","0,1938532955","2191004,02",,"14999329,4",,,,,,
Acre,1,2009,"12.521.385,59","0,1910195804","2391829,821",,"16296400,39",,,,,,
Acre,1,2010,"13.314.319,96","0,2053467365","2734052,152",,"17716994,09",,,,,,
Acre,1,2011,"13.411.043,57","0,2060896421","2763877,169",,"19395145,29",,,,,,
Acre,1,2012,"14.353.969,27","0,2071671277","2973670,585",,"21003106,72",,,,,,
Acre,1,2013,"15.338.941,22","0,2091192188","3207667,405",,"22725029,96",,,,,,
Acre,1,2014,"16.908.850,97","0,198730289","3360300,841",,"24578326,49",,,,,,
Acre,1,2015,"15.464.493,68","0,1783580704","2758217,253",,"26473803,32",,,,,,
Acre,1,2016,"14.689.996,02","0,1552432733","2280523,066",,"27654229,56",,,,,,
Acre,1,2017,"14.807.545,17","0,1455898652","2155828,505",,"28286610,33",,,,,,
Acre,1,2018,"15.331.122,59","0,1509691196","2314526,079",,"28756607,79",,,,,,
Alagoas,2,2003,"28881158,81","0,1660475915","4795646,861","5559555,237","41175441,23",,,"37873051,69",,,
Alagoas,2,2004,"29862436,21","0,1732023332","5172243,628",,"43517105,93",,,,,,
Alagoas,2,2005,"31151102,36","0,1705618345","5313189,167",,"46095808,39",,,,,,
Alagoas,2,2006,"33929956,68","0,1721029957","5839447,187",,"48661770,37",,,,,,
Alagoas,2,2007,"37104567,11","0,1799576134","6677249,343",,"51601063,65",,,,,,
Alagoas,2,2008,"39252256,39","0,1938532955","7609179,259",,"55202982,5",,,,,,
Alagoas,2,2009,"40875310,31","0,1910195804","7807984,622",,"59522163,39",,,,,,
Alagoas,2,2010,"43304069,99","0,2053467365","8892349,45",,"63782734,23",,,,,,
Alagoas,2,2011,"47439616,75","0,2060896421","9776813,637",,"68873747,55",,,,,,
Alagoas,2,2012,"49060409,79","0,2071671277","10163704,18",,"74545809,83",,,,,,
