Estado,ID,Ano,PIB,L,despjud,despeduc,despleg,despadm,despics,desptec,despass,despsaude,educ,pop,pib,H,ptf,minmax,K,KL,Índice,GW,exportação,importação,IMPORT,despgov,despjudp,despeducp,desplegp,despadmp,despicsp,desptecp,despassp,despsaudep,val,vak,popdens,agua,energiapc,cambio,imp,exp,trade
Acre,1,2003,"7.726,4",176,"140,5","574,2","118,7","335,1","10,6","15,9","12,6","413,9","5,6","638,0","43,90005926","1,758634921","5,944419017","0,9897094121","11185,06103","63,5514831",100,"209,6","5,33706","0,817738","0,0003056988055","2732,497742","0,05141247679","0,2101225569","0,04344366313","0,1226168966","0,003873220871","0,005832383138","0,004625086737","0,1514870999","0,7502626341","0,09512068003","3,887077646","0,57","0,6292093674","2,8884","15,4155641","2,361954439","0,002300876805"
Acre,1,2004,"8.045,6",290,"135,6","617,2","121,6","330,3","11,3","14,0","42,2","441,7","5,2","656,3","27,74340605","1,680774082","4,613599698","0,1007394626","11801,40337","40,69449437","77,61228954",231,"7,663456","0,592582","0,0001954457081","2868,37414","0,04725790107","0,2151855119","0,04239379913","0,1151471073","0,003951219802","0,004895595789","0,01471421555","0,1539942923","0,7471351128","0,1214285982","3,998902287","0,45","0,6596495475","2,6536","20,33574684","1,572475595","0,002723010811"
Acre,1,2005,"8.651,7",285,"146,4","730,5","134,5","522,8","23,5","22,0","32,4","484,0","5,4","675,0","30,35693574","1,710930955","4,848523417","0,2576654428","12491,57555","43,83008963","81,56429423",255,"11,339833","0,501317","0,0001355835304","3360,212327","0,04355645546","0,2174038522","0,04004074616","0,1555863313","0,006984808564","0,006557328376","0,009641686517","0,1440343518","0,7591404608","0,106341066","4,112701056","0,50","0,6829235997","2,3399","26,53407524","1,173031648","0,003202494472"
Acre,1,2006,"9.092,8",315,"155,3","780,7","144,8","424,5","25,5","40,7","242,9","610,4","5,7","693,7","28,86594983","1,766451984","4,601720087","0,09280403744","13222,75451","41,97699844","77,41244476",284,"17,795969","2,022222","0,0004753106989","4173,621266","0,03721842218","0,1870589508","0,03470547361","0,1017067635","0,006098962039","0,009759461822","0,0581961268","0,1462452625","0,7809571402","0,1041572198","4,226822754","0,55","0,735112983","2,1372","38,03354495","4,321892858","0,004658142487"
Acre,1,2007,"10.191,8",314,"210,1","903,6","168,7","385,1","20,5","43,3","174,4","593,7","6,3","712,1","32,4578252","1,875951426","4,872054344","0,2733837955","13999,59582","44,58470007","81,9601433",310,"17,744754","1,646936","0,0002861037754","4114,216298","0,05105977796","0,2196391684","0,04099556443","0,09361155449","0,004985973819","0,0105273082","0,04239512571","0,1443109951","0,7751829189","0,1208149725","4,338568186","0,64","0,7921377129","1,7705","31,41708696","2,915900188","0,003368701467"
Acre,1,2008,"11.302,4",318,"195,5","1.057,8","177,8","511,3","22,6","23,9","218,5","759,5","6,5","730,5","35,54208212","1,917777029","5,147615613","0,4574551293","14999,3294","47,16770252","86,59577325",331,"21,951663","1,140621","0,0002357661202","4834,941131","0,04043595053","0,2187848367","0,0367825726","0,1057554495","0,004679049763","0,004933250833","0,04520136415","0,1570815213","0,7871166213","0,1001310291","4,451069149","0,62","0,8566746315","2,3362","51,2834751","2,66471878","0,004773170235"
Acre,1,2009,"12.521,4",334,"229,7","1.064,7","193,2","657,4","42,5","29,0","244,8","910,6","6,7","748,6","37,48917841","1,945087704","5,311342674","0,566822671","16296,40039","48,79161795","89,35007204",349,"15,693038","1,393381","0,0001936718804","5948,284019","0,03862449981","0,1789951547","0,03247811791","0,1105233869","0,007145521166","0,004877656609","0,04114678474","0,1530906031","0,7517465817","0,1436063663","4,561126823","0,65","0,8989107725","1,7404","27,31216334","2,425040292","0,002374913177"
Acre,1,2010,"13.314,3","338,5","224,7","1.105,6","185,2","550,5","49,1","30,5","360,3","934,8","6,6","765,3","39,33329381","1,930048995","5,443607065","0,6551735595","17716,99409","52,33971666","91,57509001",364,"20,734285","2,957314","0,0003699107992","6233,334269","0,03604945943","0,1773683389","0,02970982469","0,08832022822","0,007871941694","0,004891520454","0,05780747511","0,149969861","0,7249066135","0,1443074612","4,663117378","0,69","0,9366858154","1,6654","34,53087824","4,925110736","0,002963425027"
Acre,1,2011,"13.411,0",343,"220,4","1.040,7","182,9","348,0","46,0","28,4","360,1","965,8","6,5","778,5","39,09925238","1,915126559","5,270968234","0,5398530719","19395,14529","56,5456131","88,67087296",396,"16,976285","6,777864","0,0009476647155","5683,483244","0,03877709139","0,183110333","0,03217385416","0,06122255083","0,008100039465","0,005001056356","0,06335047683","0,1699244414","0,7525148151","0,1154479068","4,743386425","0,72","0,9758554689","1,8751","31,832232","12,70917279","0,003321248236"
Acre,1,2012,"14.354,0",326,"233,2","1.123,5","197,6","379,5","94,3","37,1","386,7","1.058,2","7,0","792,0","44,03058058","2,008041829","5,4760119","0,676819567","21003,10672","64,42670773","92,12022041",460,"9,413168","4,592775","0,0006536575265","6594,81793","0,03536106338","0,1703669388","0,02995781198","0,05755162953","0,01429457694","0,00562555514","0,05863764354","0,16045649","0,7551139968","0,1135974516","4,825922064","0,72","1,083287923","2,0429","19,23016091","9,382580048","0,001993367857"
Acre,1,2013,"15.338,9",324,"215,4","1.223,6","205,7","672,9","186,1","43,6","400,7","1.113,2","6,6","805,0","47,34241117","1,94107447","5,808196126","0,8987142975","22725,02996","70,13898135","97,70839016",471,"11,374026","2,132131","0,0003255407743","6893,545457","0,03124746719","0,1775018924","0,0298422486","0,09761289999","0,02700184564","0,0063185469","0,05812495748","0,1614858308","0,7540049061","0,1056003659","4,904942048","0,71","1,087122799","2,3420","26,63796889","4,993450802","0,002062164477"
Acre,1,2014,"16.908,9",338,"265,4","1.189,6","209,4","880,5","69,7","41,5","465,7","1.217,1","6,9","818,3","50,02618632","1,989983534","5,959824389",1,"24578,32649","72,71694228","100,2591569",441,"7,21696","9,70515","0,001524231089","7278,105635","0,03646081797","0,1634479195","0,02877365987","0,1209793124","0,009573932001","0,005699292372","0,06398550743","0,1672220509","0,750549991","0,113492461","4,985728999","0,73","1,122084392","2,6556","19,16535898","25,77299634","0,002657682381"
